이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
에바다꼬치,간이 음식 포장 판매 전문점,장전1동,부산광역시 금정구 장전동 130-16,부산광역시 금정구 금강로335번길 38,129.0843919,35.23792683
별하늘,제과점업,구서2동,부산광역시 금정구 구서동 655-1,부산광역시 금정구 금강로565번길 7,129.0871676,35.25793847
선희네김밥,김밥 및 기타 간이 음식점업,온천3동,부산광역시 동래구 온천동 1425-16,부산광역시 동래구 미남로132번길 13,129.0703791,35.20604138
도리마리,김밥 및 기타 간이 음식점업,온천1동,부산광역시 동래구 온천동 154-36,부산광역시 동래구 온천장로 117,129.0846312,35.22109827
온천떡공장,떡류 제조업,부곡4동,부산광역시 금정구 부곡동 889-53,부산광역시 금정구 부곡로 6,129.0867125,35.21746682
앤티앤스프레즐,제과점업,장전2동,부산광역시 금정구 장전동 40,부산광역시 금정구 부산대학로63번길 2,129.083829,35.23224128
와플대학 부산대점,간이 음식 포장 판매 전문점,장전2동,부산광역시 금정구 장전동 414-3,부산광역시 금정구 부산대학로 23,129.088695,35.23097687
동림떡집,떡류 제조업,구서1동,부산광역시 금정구 구서동 86-8,부산광역시 금정구 수림로50번길 200,129.090171,35.24826239
에그토스트부산가톨릭대점,피자; 햄버거; 샌드위치 및 유사 음식점업,부곡3동,부산광역시 금정구 부곡동 9,부산광역시 금정구 오륜대로 57,129.0968785,35.24467691
정직유부 부산대점,일식 음식점업,장전2동,부산광역시 금정구 장전동 419-19,부산광역시 금정구 금강로 253,129.0846573,35.23070407
꼬지와친구들&카페,김밥 및 기타 간이 음식점업,온천3동,부산광역시 동래구 온천동 1266-17,부산광역시 동래구 사직북로28번길 126,129.0650453,35.2022305
마라김밥,김밥 및 기타 간이 음식점업,온천1동,부산광역시 동래구 온천동 153-8,부산광역시 동래구 중앙대로 1523,129.0855805,35.22128918
청춘라면,김밥 및 기타 간이 음식점업,부곡3동,부산광역시 금정구 부곡동 22-1,부산광역시 금정구 무학송로 132,129.0940527,35.24286049
튀김집커피집,김밥 및 기타 간이 음식점업,부곡4동,부산광역시 금정구 부곡동 873-35,부산광역시 금정구 오시게로 36-1,129.0871237,35.2206588
여우야,간이 음식 포장 판매 전문점,명륜동,부산광역시 동래구 명륜동 757,부산광역시 동래구 명륜로 170,129.0829515,35.20994393
뚜레쥬르부산대푸르지오,제과점업,부곡2동,부산광역시 금정구 부곡동 268-2,부산광역시 금정구 중앙대로 1617-12,129.0902875,35.22926422
니다나과자점,제과점업,장전1동,부산광역시 금정구 장전동 263-58,부산광역시 금정구 금강로321번길 35,129.0846062,35.23685979
불닭발엽기떡볶이 동대문,김밥 및 기타 간이 음식점업,명륜동,부산광역시 동래구 명륜동 533-158,부산광역시 동래구 온천천로 157,129.0789962,35.20554222
궁중떡메,떡류 제조업,온천3동,부산광역시 동래구 온천동 1468-12,부산광역시 동래구 충렬대로108번길 102,129.0737186,35.2022264
원조토스트,간이 음식 포장 판매 전문점,장전2동,부산광역시 금정구 장전동 400-54,부산광역시 금정구 부산대학로63번길 7,129.0842767,35.23127835
파리바게뜨구서역점,제과점업,구서1동,부산광역시 금정구 구서동 414-20,부산광역시 금정구 구서로 9,129.0897734,35.24646697
에스엠호두파야동래역사점,제과점업,온천2동,부산광역시 동래구 온천동 514-2,부산광역시 동래구 중앙대로 1324,129.078482,35.20561413
이흥용과자점,제과점업,장전2동,부산광역시 금정구 장전동 425-1,부산광역시 금정구 부산대학로63번길 30,129.0839327,35.230284
상옥떡방,떡류 제조업,장전1동,부산광역시 금정구 장전동 739,부산광역시 금정구 수림로72번길 21,129.0842154,35.24047111
미스터빠삭,김밥 및 기타 간이 음식점업,장전2동,부산광역시 금정구 장전동 414-11,부산광역시 금정구 장전온천천로 63,129.0888397,35.23062293
로반스윗,빵류; 과자류 및 당류 소매업,명륜동,부산광역시 동래구 명륜동 506-3,부산광역시 동래구 충렬대로 197,129.0811338,35.20455026
소정떡방아,떡류 제조업,장전2동,부산광역시 금정구 장전동 621-30,부산광역시 금정구 식물원로44번길 22,129.0836058,35.22609028
파리바게트,제과점업,장전1동,부산광역시 금정구 장전동 154-2,부산광역시 금정구 금강로335번길 23,129.0850906,35.2377616
언니케이크,빵류; 과자류 및 당류 소매업,온천1동,부산광역시 동래구 온천동 153-8,부산광역시 동래구 중앙대로 1523,129.085065,35.22088354
충무김밥,김밥 및 기타 간이 음식점업,명륜동,부산광역시 동래구 명륜동 403-1,부산광역시 동래구 명륜로112번길 9,129.083595,35.20375996
싱싱프루츠,간이 음식 포장 판매 전문점,온천3동,부산광역시 동래구 온천동 1450-82,부산광역시 동래구 미남로102번길 29,129.0710631,35.20357854
참새방앗간,김밥 및 기타 간이 음식점업,온천3동,부산광역시 동래구 온천동 1457-1,부산광역시 동래구 충렬대로140번길 32,129.0750418,35.20374469
봉림떡방앗간,떡류 제조업,명륜동,부산광역시 동래구 명륜동 5-6,부산광역시 동래구 명륜로 267,129.0854374,35.21698415
OPS,제과점업,구서2동,부산광역시 금정구 구서동 718-9,부산광역시 금정구 금강로 477,129.0876762,35.24992753
