이름,주소,위도,경도,상세정보
덕천공원,부산광역시 북구 덕천동 811-1,35.21058674,129.0170701,
덕천근린공원,부산광역시 북구 덕천동 산 93,35.21692179,129.0073605,
덕천소공원,부산광역시 북구 덕천동 819,35.21377598,129.0092095,
덕포공원,부산광역시 사상구 덕포동 365-1,35.178556,128.9876612,
덕포백양공원,부산광역시 사상구 덕포동 776-1,35.174907,128.9895802,
덕포체육공원,부산광역시 사상구 덕포동 763,35.17759531,128.9892872,
도담공원,부산광역시 강서구 명지동 3242-4,35.079992,128.9104877,
도담공원,부산광역시 사상구 엄궁동 683-4,35.12436409,128.9680361,
도담공원,부산광역시 해운대구 우동 933-54,35.1683296,129.1350636,
도라지공원,부산광역시 기장군 기장읍 청강리 149,35.2360871,129.2213661,
도모헌,부산광역시 수영구 황령산로7번길 60,35.147057,129.10724,
도요새공원,부산광역시 강서구 명지동 3604-4,35.0918359,128.9084248,
돌산공원,부산광역시 부산진구 전포동 산 65-3,35.14937672,129.072058,
동구래공원,부산광역시 기장군 정관읍 달산리 1208,35.31854956,129.1882085,
동그라미공원,부산광역시 기장군 정관읍 용수리 1320,35.32632549,129.1750687,
동대공원,부산광역시 금정구 회동동 558,35.23063876,129.1261312,
동래사적공원,부산광역시 동래구 명륜동 137-4,35.211818,129.0921895,
동래읍성,부산 동래구 명륜동 산48-2,35.20975,129.08997,
동래-해운대공원,부산광역시 해운대구 우동 993-31,35.16181249,129.1464404,
동래향교,부산광역시 동래구 명륜동 235,35.2077099,129.084195,
동백공원,부산광역시 해운대구 우동710-3,35.15259434,129.1525397,
동백섬,부산광역시 해운대구 우동 710-1,35.15397,129.1523,
동부근린공원,부산광역시 기장군 기장읍 동부리 428,35.25007433,129.2153044,
동삼공원,부산광역시 영도구 동삼동 510-28,35.073341,129.0676059,
동삼동패총전시관,부산광역시 영도구 동삼동 749-8,35.07119,129.07968,
동삼혁신지구공원,부산광역시 영도구 동삼동 1163,35.07874467,129.0779467,
동심공원,부산광역시 북구 만덕동 872-3,35.20899751,129.0387598,
동심초공원,부산광역시 북구 만덕동 925-2,35.2096799,129.0289059,
동아대학교 석당미술관,부산광역시 서구 부민동2가 1,35.103747,129.0194155,
동아대학교 석당박물관,부산광역시 서구 부민동2가 1,35.103747,129.0194155,
동양어린이공원,부산광역시 부산진구 부암동 726,35.17621167,129.0299758,
