상가업소번호,이름,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220808493763,국제당구장,R1,예술·스포츠,R103,스포츠 서비스,R10310,당구장,R91135,당구장 운영업,26,부산광역시,26350,해운대구,26350610,반송1동,2635010100,반송동,2.63501E+18,1,대지,257,340,부산광역시 해운대구 반송동 257-340,2.63504E+11,부산광역시 해운대구 아랫반송로23번길,10,,2.63501E+24,,부산광역시 해운대구 아랫반송로23번길 10,612804,48017,,3,,129.1489141,35.22517335
MA010120220810702535,보스노래연습장,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26530,사상구,26530661,주례3동,2653010600,주례동,2.65301E+18,1,대지,1163,7,부산광역시 사상구 주례동 1163-7,2.65302E+11,부산광역시 사상구 가야대로,296,,2.65301E+24,,부산광역시 사상구 가야대로 296,617838,47013,,,,129.0049347,35.15038749
MA010120220805116873,우리당구장,R1,예술·스포츠,R103,스포츠 서비스,R10310,당구장,R91135,당구장 운영업,26,부산광역시,26260,동래구,26260761,명장1동,2626010100,명장동,2.62601E+18,1,대지,132,41,부산광역시 동래구 명장동 132-41,2.62604E+11,부산광역시 동래구 명안로85번길,21,,2.62601E+24,,부산광역시 동래구 명안로85번길 21,607809,47773,,3,,129.1033247,35.2041937
MA010120220805242453,더블클릭PC방,R1,예술·스포츠,R104,유원지·오락,R10406,PC방,R91222,컴퓨터 게임방 운영업,26,부산광역시,26500,수영구,26500730,수영동,2650010200,수영동,2.65001E+18,1,대지,447,9,부산광역시 수영구 수영동 447-9,2.65004E+11,부산광역시 수영구 수영로725번길,56,,2.65001E+24,천양수영골드타워,부산광역시 수영구 수영로725번길 56,613830,48228,,1,,129.1157311,35.16863445
MA010120220810533100,큐당구장,R1,예술·스포츠,R103,스포츠 서비스,R10310,당구장,R91135,당구장 운영업,26,부산광역시,26140,서구,26140540,서대신1동,2614010500,서대신동2가,2.61401E+18,1,대지,124,,부산광역시 서구 서대신동2가 124,2.61403E+11,부산광역시 서구 대영로,45,,2.61401E+24,,부산광역시 서구 대영로 45,602819,49234,,3,,129.0164625,35.10975143
MA010120220808781810,동래읍성골프존,R1,예술·스포츠,R103,스포츠 서비스,R10311,골프 연습장,R91136,골프 연습장 운영업,26,부산광역시,26260,동래구,26260762,명장2동,2626010100,명장동,2.62601E+18,1,대지,267,18,부산광역시 동래구 명장동 267-18,2.62603E+11,부산광역시 동래구 복천로,108,,2.62601E+24,,부산광역시 동래구 복천로 108,607807,47750,,,,129.0962499,35.20701988
MA010120220810638419,케이브노래연습장,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26230,부산진구,26230550,초읍동,2623010700,초읍동,2.62301E+18,1,대지,291,3,부산광역시 부산진구 초읍동 291-3,2.62303E+11,부산광역시 부산진구 성지로,155,,2.62301E+24,,부산광역시 부산진구 성지로 155,614872,47124,,3,,129.0476021,35.18177313
MA010120220800807192,부산골프클럽스크린현준정보시스템,R1,예술·스포츠,R103,스포츠 서비스,R10311,골프 연습장,R91136,골프 연습장 운영업,26,부산광역시,26290,남구,26290710,문현4동,2629010900,문현동,2.62901E+18,1,대지,821,,부산광역시 남구 문현동 821,2.62903E+11,부산광역시 남구 우암로,375,,2.62901E+24,,부산광역시 남구 우암로 375,608828,48475,,1,,129.0665594,35.13541973
MA010120220807496063,명품I당구장,R1,예술·스포츠,R103,스포츠 서비스,R10310,당구장,I56194,김밥 및 기타 간이 음식점업,26,부산광역시,26260,동래구,26260545,명륜동,2626010700,명륜동,2.62601E+18,1,대지,553,21,부산광역시 동래구 명륜동 553-21,2.62604E+11,부산광역시 동래구 충렬대로181번길,42,,2.62601E+24,,부산광역시 동래구 충렬대로181번길 42,607804,47736,,7,,129.0801621,35.20562132
MA010120220811753890,스파르타,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26500,수영구,26500760,광안1동,2650010400,광안동,2.65001E+18,1,대지,118,2,부산광역시 수영구 광안동 118-2,2.65004E+11,부산광역시 수영구 수영로618번길,4,,2.65001E+24,성우이린타워,부산광역시 수영구 수영로618번길 4,613802,48293,,5,,129.1140401,35.16054462
MA010120220809852206,스타당구클럽,R1,예술·스포츠,R103,스포츠 서비스,R10310,당구장,R91135,당구장 운영업,26,부산광역시,26530,사상구,26530591,모라1동,2653010200,모라동,2.65301E+18,1,대지,390,,부산광역시 사상구 모라동 390,2.65304E+11,부산광역시 사상구 백양대로907번길,19,,2.65301E+24,,부산광역시 사상구 백양대로907번길 19,617818,46929,,5,,128.9897157,35.18773979
MA010120220803205266,락휴코인노래연습장 동아대점,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26380,사하구,26380562,하단2동,2638010300,하단동,2.63801E+18,1,대지,800,11,부산광역시 사하구 하단동 800-11,2.63802E+11,부산광역시 사하구 낙동대로,552,,2.63801E+24,,부산광역시 사하구 낙동대로 552,604849,49315,,,,128.9638777,35.11343575
MA010120220804661200,체험스쿨꿈드림,R1,예술·스포츠,R104,유원지·오락,R10499,기타 오락관련 서비스업,R91299,그 외 기타 분류 안된 오락관련 서비스업,26,부산광역시,26290,남구,26290610,용당동,2629010800,용당동,2.62901E+18,1,대지,243,1,부산광역시 남구 용당동 243-1,2.62903E+11,부산광역시 남구 신선로,365,,2.62901E+24,창업지원센터,부산광역시 남구 신선로 365,608829,48548,,,,129.0894291,35.11599492
MA010120220808290653,돌고래노래연습장,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,26,부산광역시,26350,해운대구,26350610,반송1동,2635010100,반송동,2.63501E+18,1,대지,261,131,부산광역시 해운대구 반송동 261-131,2.63504E+11,부산광역시 해운대구 아랫반송로5번길,52,,2.63501E+24,,부산광역시 해운대구 아랫반송로5번길 52,612805,48017,,1,,129.1477797,35.22671641
MA010120220809362363,바디핏케어휘트니스,R1,예술·스포츠,R103,스포츠 서비스,R10312,테니스장,R91139,그 외 기타 스포츠시설 운영업,26,부산광역시,26440,강서구,26440535,명지1동,2644010400,명지동,2.64401E+18,1,대지,3358,4,부산광역시 강서구 명지동 3358-4,2.64403E+11,부산광역시 강서구 명지국제9로,38,,2.64401E+24,,부산광역시 강서구 명지국제9로 38,618200,46773,,8,,128.9214936,35.09821817
