이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
케이앤피트니스동래 온천점,체력 단련시설 운영업,온천2동,부산광역시 동래구 온천동 728-82,부산광역시 동래구 충렬대로107번길 49,129.0727282,35.20904707
칼리스핏,체력 단련시설 운영업,장전2동,부산광역시 금정구 장전동 424-2,부산광역시 금정구 금강로 247-5,129.0844233,35.23014038
어썸피씨,컴퓨터 게임방 운영업,장전1동,부산광역시 금정구 장전동 222-2,부산광역시 금정구 금정로149번길 13,129.0870486,35.23787202
구서JS,골프 연습장 운영업,구서1동,부산광역시 금정구 구서동 457-2,부산광역시 금정구 금강로 418,129.0885874,35.24476627
메가당구클럽,당구장 운영업,명륜동,부산광역시 동래구 명륜동 447-1,부산광역시 동래구 명륜로 109,129.0827792,35.20362982
메가테니스,그 외 기타 스포츠시설 운영업,명륜동,부산광역시 동래구 명륜동 752,부산광역시 동래구 명륜로236번길 9,129.0849614,35.21426187
갤러리스크린 골프연습장,골프 연습장 운영업,온천3동,부산광역시 동래구 온천동 1600,부산광역시 동래구 쇠미로129번길 62-12,129.0601178,35.20491881
레몬짐PT,체력 단련시설 운영업,명륜동,부산광역시 동래구 명륜동 450-4,부산광역시 동래구 명륜로103번길 20,129.0820738,35.20309225
자연 골프연습장,골프 연습장 운영업,구서1동,부산광역시 금정구 구서동 83-8,부산광역시 금정구 중앙대로1826번길 10-8,129.0933273,35.24711743
그레이트짐온천장PT&헬스,그 외 기타 스포츠시설 운영업,온천1동,부산광역시 동래구 온천동 138-3,부산광역시 동래구 금강공원로20번길 56,129.0832205,35.22132983
우쥬골프레슨샵,그 외 기타 스포츠시설 운영업,장전2동,부산광역시 금정구 장전동 414-23,부산광역시 금정구 부산대학로 29,129.0880203,35.23079026
대박복권,복권 발행 및 판매업,부곡4동,부산광역시 금정구 부곡동 792-68,부산광역시 금정구 부곡로42번길 36,129.0897523,35.21953206
모아골프,골프 연습장 운영업,부곡2동,부산광역시 금정구 부곡동 273-6,부산광역시 금정구 부곡로 145,129.0920235,35.22886475
세리골프존스크린,골프 연습장 운영업,온천3동,부산광역시 동래구 온천동 1447-1,부산광역시 동래구 미남로 130,129.0697638,35.20559232
오엑스피시방허심청점,컴퓨터 게임방 운영업,온천1동,부산광역시 동래구 온천동 94-19,부산광역시 동래구 금강로 150,129.0811611,35.22196003
헬스인더짐&스피닝미남점,체력 단련시설 운영업,온천3동,부산광역시 동래구 온천동 1248-4,부산광역시 동래구 아시아드대로 239-1,129.0674436,35.20545174
휴앤씨마실스크린파크골프 금정점,골프 연습장 운영업,부곡3동,부산광역시 금정구 부곡동 63-1,부산광역시 금정구 수림로20번길 36,129.0907019,35.24155771
