이름,지번주소,요일,여는시간,닫는시간,브레이크 시작,브레이크 끝,라스트오더,휴무여부,비고,,,,,,
나무랑닭이랑,부산광역시 금정구 구서동 1023-8,1,,,,,,TRUE,,,,,,,
나무랑닭이랑,부산광역시 금정구 구서동 1023-8,2,16:00,23:00,,,,,,,,,,,
나무랑닭이랑,부산광역시 금정구 구서동 1023-8,3,16:00,23:00,,,,,,,,,,,
나무랑닭이랑,부산광역시 금정구 구서동 1023-8,4,16:00,23:00,,,,,,,,,,,
나무랑닭이랑,부산광역시 금정구 구서동 1023-8,5,16:00,23:00,,,,,,,,,,,
나무랑닭이랑,부산광역시 금정구 구서동 1023-8,6,16:00,23:00,,,,,,,,,,,
도이,부산광역시 금정구 구서동 1023-9,0,11:15,21:00,15:30,17:30,,,,,,,,,
도이,부산광역시 금정구 구서동 1023-9,1,,,,,,TRUE,,,,,,,
도이,부산광역시 금정구 구서동 1023-9,2,11:15,21:00,15:30,17:30,,,,,,,,,
도이,부산광역시 금정구 구서동 1023-9,3,11:15,21:00,15:30,17:30,,,,,,,,,
도이,부산광역시 금정구 구서동 1023-9,4,11:15,21:00,15:30,17:30,,,,,,,,,
도이,부산광역시 금정구 구서동 1023-9,5,11:15,21:00,15:30,17:30,,,,,,,,,
도이,부산광역시 금정구 구서동 1023-9,6,11:15,21:00,15:30,17:30,,,,,,,,,
교촌치킨 구서1호점,부산광역시 금정구 구서동 1024-1,0,,,,,,,,,,,,,
교촌치킨 구서1호점,부산광역시 금정구 구서동 1024-1,1,,,,,,,,,,,,,
교촌치킨 구서1호점,부산광역시 금정구 구서동 1024-1,2,,,,,,,,,,,,,
교촌치킨 구서1호점,부산광역시 금정구 구서동 1024-1,3,,,,,,,,,,,,,
교촌치킨 구서1호점,부산광역시 금정구 구서동 1024-1,4,,,,,,,,,,,,,
교촌치킨 구서1호점,부산광역시 금정구 구서동 1024-1,5,,,,,,,,,,,,,
교촌치킨 구서1호점,부산광역시 금정구 구서동 1024-1,6,,,,,,,,,,,,,
이귀남찜닭,부산광역시 금정구 구서동 1024-1,0,11:00,22:00,,,,,,,,,,,
이귀남찜닭,부산광역시 금정구 구서동 1024-1,1,11:00,22:00,,,,,,,,,,,
이귀남찜닭,부산광역시 금정구 구서동 1024-1,2,11:00,22:00,,,,,,,,,,,
이귀남찜닭,부산광역시 금정구 구서동 1024-1,3,11:00,22:00,,,,,,,,,,,
이귀남찜닭,부산광역시 금정구 구서동 1024-1,4,11:00,22:00,,,,,,,,,,,
이귀남찜닭,부산광역시 금정구 구서동 1024-1,5,11:00,22:00,,,,,,,,,,,
