이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
김치찌개와돈까스,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 258-12,부산광역시 금정구 금강로 452-1,129.0888007,35.24794363
연심,일식 음식점업,구서1동,부산광역시 금정구 구서동 258-15,부산광역시 금정구 금강로 452,129.0888311,35.24784397
이야기,일식 음식점업,구서1동,부산광역시 금정구 구서동 258-20,부산광역시 금정구 금강로 446,129.0890826,35.24737104
청년쉐프들,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 258-21,부산광역시 금정구 금강로468번길 12-1,129.0887804,35.24886314
열정국밥,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 258-5,부산광역시 금정구 금강로 460,129.0887057,35.248522
전원숯불구서점,한식 육류 요리 전문점,구서1동,부산광역시 금정구 구서동 260-14,부산광역시 금정구 금강로 449,129.0884046,35.24749088
서가앤컴퍼니,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 260-14,부산광역시 금정구 금강로 449,129.0884046,35.24749088
언양식육식당,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 266-16,부산광역시 금정구 금단로 30,129.0929883,35.25230487
뉴욕버거 부산금정점,피자; 햄버거; 샌드위치 및 유사 음식점업,구서1동,부산광역시 금정구 구서동 368,부산광역시 금정구 중앙대로1841번길 24,129.0905986,35.24994014
앤티앤스 금정점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 368,부산광역시 금정구 중앙대로1841번길 24,129.0905986,35.24994014
풍천황금장어 구서점,한식 해산물 요리 전문점,구서1동,부산광역시 금정구 구서동 376-9,부산광역시 금정구 금단로 13,129.0921701,35.25124666
본죽앤비빔밥 구서쌍용예가점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 409-26,부산광역시 금정구 구서로 26,129.0882686,35.24689847
국수나무,한식 면 요리 전문점,구서1동,부산광역시 금정구 구서동 413-1,부산광역시 금정구 구서로 29,129.0879238,35.24673321
자이언트치킨호프,치킨 전문점,구서1동,부산광역시 금정구 구서동 413-10,부산광역시 금정구 금강로423번길 10-1,129.0882783,35.24556461
이웃집칼국수;노랑고래구서점,제과점업,구서1동,부산광역시 금정구 구서동 413-11,부산광역시 금정구 금강로 425,129.0883846,35.2454276
구서옛날삼겹살,한식 육류 요리 전문점,구서1동,부산광역시 금정구 구서동 413-11,부산광역시 금정구 금강로 425,129.0883846,35.2454276
노가,한식 해산물 요리 전문점,구서1동,부산광역시 금정구 구서동 413-11,부산광역시 금정구 금강로 425,129.0883846,35.2454276
정성숯불두마리치킨 구서점,치킨 전문점,구서1동,부산광역시 금정구 구서동 413-11,부산광역시 금정구 금강로 425,129.0883846,35.2454276
토라,일식 음식점업,구서1동,부산광역시 금정구 구서동 413-11,부산광역시 금정구 금강로 425,129.0883846,35.2454276
도미노피자,피자; 햄버거; 샌드위치 및 유사 음식점업,구서1동,부산광역시 금정구 구서동 413-19,부산광역시 금정구 금강로 433,129.0886795,35.24621552
정원막창 부산본점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 413-19,부산광역시 금정구 금강로 433,129.0886795,35.24621552
OK도매횟집,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 413-2,부산광역시 금정구 수림로72번길 160,129.0880056,35.2464975
호맥 구서쌍용예가점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 413-27,부산광역시 금정구 금강로 429-1,129.0886282,35.24592804
명수정,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 413-3,부산광역시 금정구 구서로 23,129.0885247,35.24660568
임랑구서점,일식 음식점업,구서1동,부산광역시 금정구 구서동 413-37,부산광역시 금정구 금강로 427,129.0885993,35.24565819
미담,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 413-48,부산광역시 금정구 금강로423번길 10,129.0882753,35.24544751
일다,서양식 음식점업,구서1동,부산광역시 금정구 구서동 413-51,부산광역시 금정구 수림로72번길 150-7,129.0881695,35.24603508
목구멍 구서동점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 413-53,부산광역시 금정구 금강로 429,129.0886576,35.24579236
왓더버거 구서점,서양식 음식점업,구서1동,부산광역시 금정구 구서동 414-1,부산광역시 금정구 구서로 17,129.0890305,35.24662399
고려국밥,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 414-16,부산광역시 금정구 금강로 432-1,129.0889837,35.24608411
와인가든,서양식 음식점업,구서1동,부산광역시 금정구 구서동 414-17,부산광역시 금정구 금강로 432,129.0889814,35.24599403
가든테이블,서양식 음식점업,구서1동,부산광역시 금정구 구서동 414-17,부산광역시 금정구 금강로 432,129.0889814,35.24599403
내고향,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 414-20,부산광역시 금정구 구서로 9,129.0897734,35.24646697
해운대31CM해물칼국수 구서점,한식 면 요리 전문점,구서1동,부산광역시 금정구 구서동 414-37,부산광역시 금정구 금정로231번길 22,129.089618,35.24511794
철마한우로스구이,한식 육류 요리 전문점,구서1동,부산광역시 금정구 구서동 414-39,부산광역시 금정구 수림로50번길 149,129.0897275,35.24596312
미가곱창,한식 해산물 요리 전문점,구서1동,부산광역시 금정구 구서동 414-39,부산광역시 금정구 수림로50번길 149,129.0897275,35.24596312
돼구빡,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 414-48,부산광역시 금정구 수림로50번길 141,129.0897314,35.2456837
상선회수산,한식 해산물 요리 전문점,구서1동,부산광역시 금정구 구서동 414-50,부산광역시 금정구 수림로50번길 139,129.0897494,35.24553019
동서낙지,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 414-57,부산광역시 금정구 금강로 434-3,129.0891768,35.24633309
선참치,일식 음식점업,구서1동,부산광역시 금정구 구서동 414-64,부산광역시 금정구 수림로50번길 135,129.0897219,35.2453144
중화포차,중식 음식점업,구서1동,부산광역시 금정구 구서동 414-70,부산광역시 금정구 금정로231번길 28-1,129.0893224,35.24515909
센베로구서점,일식 음식점업,구서1동,부산광역시 금정구 구서동 414-74,부산광역시 금정구 금정로231번길 28,129.0894523,35.24508475
춘화보쌈,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 414-77,부산광역시 금정구 수림로50번길 157,129.0898038,35.24636732
전남친순대 구서점,한식 일반 음식점업,구서1동,부산광역시 금정구 구서동 414-8,부산광역시 금정구 금강로 430,129.0889132,35.2459051
일생상회,한식 육류 요리 전문점,구서1동,부산광역시 금정구 구서동 414-82,부산광역시 금정구 수림로50번길 153,129.0897891,35.24622339
