이름,지번주소,도로명주소,요일,휴무일,휴무 간격,여는시간,닫는시간,라스트오더,휴무여부,비고
24시무인카페 만월경흰여울점,부산광역시 영도구 영선동4가 1424-6,부산광역시 영도구 절영로 209,0,,,,,,,
24시무인카페 만월경흰여울점,부산광역시 영도구 영선동4가 1424-6,부산광역시 영도구 절영로 209,1,,,,,,,
24시무인카페 만월경흰여울점,부산광역시 영도구 영선동4가 1424-6,부산광역시 영도구 절영로 209,2,,,,,,,
24시무인카페 만월경흰여울점,부산광역시 영도구 영선동4가 1424-6,부산광역시 영도구 절영로 209,3,,,,,,,
24시무인카페 만월경흰여울점,부산광역시 영도구 영선동4가 1424-6,부산광역시 영도구 절영로 209,4,,,,,,,
24시무인카페 만월경흰여울점,부산광역시 영도구 영선동4가 1424-6,부산광역시 영도구 절영로 209,5,,,,,,,
24시무인카페 만월경흰여울점,부산광역시 영도구 영선동4가 1424-6,부산광역시 영도구 절영로 209,6,,,,,,,
24시무인카페만월경 동삼점,부산광역시 영도구 동삼동 215-44,부산광역시 영도구 동삼로 114,0,,,,,,,
24시무인카페만월경 동삼점,부산광역시 영도구 동삼동 215-44,부산광역시 영도구 동삼로 114,1,,,,,,,
24시무인카페만월경 동삼점,부산광역시 영도구 동삼동 215-44,부산광역시 영도구 동삼로 114,2,,,,,,,
24시무인카페만월경 동삼점,부산광역시 영도구 동삼동 215-44,부산광역시 영도구 동삼로 114,3,,,,,,,
24시무인카페만월경 동삼점,부산광역시 영도구 동삼동 215-44,부산광역시 영도구 동삼로 114,4,,,,,,,
24시무인카페만월경 동삼점,부산광역시 영도구 동삼동 215-44,부산광역시 영도구 동삼로 114,5,,,,,,,
24시무인카페만월경 동삼점,부산광역시 영도구 동삼동 215-44,부산광역시 영도구 동삼로 114,6,,,,,,,
24시미니무인샵,부산광역시 수영구 광안동 169-26,부산광역시 수영구 수영로536번길 27,0,,,,,,,
24시미니무인샵,부산광역시 수영구 광안동 169-26,부산광역시 수영구 수영로536번길 27,1,,,,,,,
24시미니무인샵,부산광역시 수영구 광안동 169-26,부산광역시 수영구 수영로536번길 27,2,,,,,,,
24시미니무인샵,부산광역시 수영구 광안동 169-26,부산광역시 수영구 수영로536번길 27,3,,,,,,,
24시미니무인샵,부산광역시 수영구 광안동 169-26,부산광역시 수영구 수영로536번길 27,4,,,,,,,
24시미니무인샵,부산광역시 수영구 광안동 169-26,부산광역시 수영구 수영로536번길 27,5,,,,,,,
24시미니무인샵,부산광역시 수영구 광안동 169-26,부산광역시 수영구 수영로536번길 27,6,,,,,,,
24시셀프카페 양정점,부산광역시 부산진구 양정동 389-15,부산광역시 부산진구 동평로406번길 17,0,,,,,,,
24시셀프카페 양정점,부산광역시 부산진구 양정동 389-15,부산광역시 부산진구 동평로406번길 17,1,,,,,,,
24시셀프카페 양정점,부산광역시 부산진구 양정동 389-15,부산광역시 부산진구 동평로406번길 17,2,,,,,,,
24시셀프카페 양정점,부산광역시 부산진구 양정동 389-15,부산광역시 부산진구 동평로406번길 17,3,,,,,,,
24시셀프카페 양정점,부산광역시 부산진구 양정동 389-15,부산광역시 부산진구 동평로406번길 17,4,,,,,,,
24시셀프카페 양정점,부산광역시 부산진구 양정동 389-15,부산광역시 부산진구 동평로406번길 17,5,,,,,,,
24시셀프카페 양정점,부산광역시 부산진구 양정동 389-15,부산광역시 부산진구 동평로406번길 17,6,,,,,,,
3.14카페,부산광역시 사하구 다대동 949-12,부산광역시 사하구 윤공단로17번길 102,0,,,,,,,
3.14카페,부산광역시 사하구 다대동 949-12,부산광역시 사하구 윤공단로17번길 102,1,,,,,,,
3.14카페,부산광역시 사하구 다대동 949-12,부산광역시 사하구 윤공단로17번길 102,2,,,,,,,
3.14카페,부산광역시 사하구 다대동 949-12,부산광역시 사하구 윤공단로17번길 102,3,,,,,,,
3.14카페,부산광역시 사하구 다대동 949-12,부산광역시 사하구 윤공단로17번길 102,4,,,,,,,
