이름,상권업종소분류명,표준산업분류명,지번주소,건물명,도로명주소,층정보,호정보,경도,위도,휴무일,휴무 간격,여는시간,닫는시간,라스트오더,비고
배창커피빌리지,카페,커피 전문점,부산광역시 금정구 장전동 40,부산대학교,부산광역시 금정구 부산대학로63번길 2,,,129.083829,35.23224128,,,8:00,22:00,,
아보갤러리엔카페,카페,커피 전문점,부산광역시 남구 대연동 599-1,부경대학교,부산광역시 남구 용소로 45,2,,129.1048669,35.13117356,,,,,,
보리,카페,커피 전문점,부산광역시 부산진구 범전동 44-30,,부산광역시 부산진구 범양로 24,1,,129.0630287,35.16676827,,,,,,
세모커피,카페,커피 전문점,부산광역시 금정구 구서동 260-18,,부산광역시 금정구 금강로445번길 16,1,,129.0879292,35.24737293,,,,,,
로스팅샵아지트,카페,커피 전문점,부산광역시 동래구 안락동 434-40,,부산광역시 동래구 안연로102번길 23,1,,129.0990709,35.19632842,,,,,,
컵，테이블,카페,커피 전문점,부산광역시 중구 대청동2가 30-11,,부산광역시 중구 용두산길 10,,,129.0315359,35.10201091,,,,,,
이엘십육점오이,카페,커피 전문점,부산광역시 서구 암남동 621-37,,부산광역시 서구 암남공원로 177,,,129.0194468,35.06311978,,,,,,
우드라운지,카페,커피 전문점,부산광역시 수영구 광안동 157-11,,부산광역시 수영구 광남로 181,1,,129.1195815,35.15715856,,,,,,
범내골커피,카페,커피 전문점,부산광역시 부산진구 범천동 856-5,,부산광역시 부산진구 중앙대로 622,1,,129.0595394,35.14807448,,,,,,
컴포즈커피 송도점,카페,커피 전문점,부산광역시 서구 암남동 127-3,,부산광역시 서구 송도해변로 149,1,,129.0225,35.07669475,,,,,,
컴포즈커피 명지서부지법점 ,카페,커피 전문점,부산광역시 강서구 명지동 3597-5,,부산광역시 강서구 명지국제2로 29,1,,128.9067821,35.0941518,,,,,,
리원,카페,커피 전문점,부산광역시 해운대구 재송동 1221,센텀빌,부산광역시 해운대구 센텀동로 90,,,129.1272742,35.17572249,,,,,,
빈체스트,카페,커피 전문점,부산광역시 연제구 거제동 60-5,,부산광역시 연제구 중앙대로 1193,1,,129.0792537,35.19411118,,,,,,
라드커피스탠드,카페,커피 전문점,부산광역시 수영구 민락동 28-2,,부산광역시 수영구 광남로258번길 6,1,,129.1270012,35.15934442,,,,,,
손뇨,카페,커피 전문점,부산광역시 강서구 신호동 258-5,,부산광역시 강서구 신호산단1로140번길 19,1,,128.8791318,35.08042569,,,,,,
봄네커피디저트카페,카페,커피 전문점,부산광역시 사하구 하단동 494-4,,부산광역시 사하구 낙동대로536번길 17,,,128.9659805,35.11240134,,,,,,
커피스미스 경성대점,카페,커피 전문점,부산광역시 남구 대연동 56-1,,부산광역시 남구 용소로7번길 22,2,,129.1014638,35.13704511,,,,,,
스위티움,카페,커피 전문점,부산광역시 부산진구 가야동 464-121,동의대학교,부산광역시 부산진구 엄광로 176,,,129.0352711,35.14371753,,,,,,
로즈,카페,기타 비알코올 음료점업,부산광역시 부산진구 부전동 122-24,,부산광역시 부산진구 서전로9번길 26,,,129.0610518,35.15888073,,,,,,
행운,카페,기타 비알코올 음료점업,부산광역시 부산진구 양정동 131-8,,부산광역시 부산진구 중앙대로 971,,,129.07362,35.17631987,,,,,,
시장집,카페,기타 비알코올 음료점업,부산광역시 동래구 복천동 229-28,동래시장,부산광역시 동래구 동래시장길 14,1,,129.0859348,35.20380978,,,,,,
카펠라,카페,커피 전문점,부산광역시 남구 대연동 73-11,,부산광역시 남구 수영로 297,1,,129.0986553,35.13703973,,,,,,
카페051 구명반도유보라점,카페,커피 전문점,부산광역시 북구 구포동 1300,리버파크반도유보라아파트,부산광역시 북구 백양대로 1136,,,129.0023495,35.20424816,,,,,,
커피벨트,카페,커피 전문점,부산광역시 연제구 거제동 352-1,,부산광역시 연제구 법원북로65번길 11,1,,129.0743101,35.1939707,,,,,,
하나커피숍,카페,기타 비알코올 음료점업,부산광역시 동래구 온천동 1439-7,,부산광역시 동래구 충렬대로 157-1,1,,129.0776294,35.20489884,,,,,,
혜성,카페,기타 비알코올 음료점업,부산광역시 부산진구 양정동 138-9,,부산광역시 부산진구 연수로 43,2,,129.0757452,35.17486864,,,,,,
설빙 화명점,카페,기타 비알코올 음료점업,부산광역시 북구 화명동 2272-1,로얄펠리스,부산광역시 북구 화명신도시로 130,,,129.0113112,35.2354961,,,,,,
레노비,카페,커피 전문점,부산광역시 동구 수정동 358-17,NOVER,부산광역시 동구 고관로53번길 7,,,129.0432075,35.1241367,,,,,,
폴링스노우,카페,커피 전문점,부산광역시 연제구 연산동 360-3,명칭없음,부산광역시 연제구 안연로23번길 15,1,,129.0994525,35.18940097,,,,,,
마리솔,카페,커피 전문점,부산광역시 기장군 일광읍 이천리 162-1,,부산광역시 기장군 일광읍 일광로 290,,,129.2488045,35.27209927,,,,,,
마제다르,카페,커피 전문점,부산광역시 남구 대연동 867-28,,부산광역시 남구 유엔로 171-1,,,129.0950729,35.1303791,,,,,,
오슬랑커피 우암점,카페,커피 전문점,부산광역시 남구 우암동 49-13,,부산광역시 남구 우암로154번길 10,1,,129.0805594,35.12387051,,,,,,
