이름,표준산업분류명,행정동명,지번주소,도로명주소,경도,위도
느티나무의사랑,예술품 및 골동품 소매업,구서2동,부산광역시 금정구 구서동 1023-28,부산광역시 금정구 금샘로386번길 9,129.08524,35.25774643
애드호크,셔츠 및 블라우스 소매업,장전2동,부산광역시 금정구 장전동 40,부산광역시 금정구 부산대학로63번길 2,129.083829,35.23224128
풍경소리,예술품 및 골동품 소매업,구서2동,부산광역시 금정구 구서동 1026-1,부산광역시 금정구 금샘로 385,129.0844545,35.25753469
나인,한복 소매업,부곡1동,부산광역시 금정구 부곡동 329-19,부산광역시 금정구 오시게로 78-5,129.0889941,35.22422211
부산금정이마트 CT,기타 의복 소매업,구서1동,부산광역시 금정구 구서동 368,부산광역시 금정구 중앙대로1841번길 24,129.0905986,35.24994014
리틀그라운드롯데 동래점,기타 의복 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
프로젝트엠,여자용 겉옷 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
라인롯데동래점 백화점,여자용 겉옷 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
잇이즈,여자용 겉옷 소매업,장전2동,부산광역시 금정구 장전동 312-20,부산광역시 금정구 금정로68번길 12-10,129.0870708,35.23016683
데이텀,셔츠 및 블라우스 소매업,장전2동,부산광역시 금정구 장전동 40,부산광역시 금정구 부산대학로63번길 2,129.083829,35.23224128
소피레,화장품; 비누 및 방향제 소매업,온천3동,부산광역시 동래구 온천동 1421-10,부산광역시 동래구 아시아드대로246번길 15,129.0689535,35.20567826
압소바동래롯데百6F,유아용 의류 소매업,온천2동,부산광역시 동래구 온천동 502-3,부산광역시 동래구 중앙대로 1393,129.0774734,35.21170521
세정 금정지점,여자용 겉옷 소매업,부곡2동,부산광역시 금정구 부곡동 266-15,부산광역시 금정구 중앙대로 1632,129.0915902,35.22995362
블링크,여자용 겉옷 소매업,장전2동,부산광역시 금정구 장전동 293-166,부산광역시 금정구 금정로60번길 27-8,129.0880304,35.22989795
